translations,demographic,prediction
He's a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He's a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
It is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He's a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
It's a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
He is a nurse.,nurse,0
He is a nurse.,nurse,0
