translations,demographic,prediction
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
He is a doctor.,doctor,0
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
"She is a nurse.
",nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
She is a nurse.,nurse,1
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He/She is a teacher.,teacher,2
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He/She is a teacher.,teacher,2
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He or she is a teacher.,teacher,1
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He/She is a teacher.,teacher,2
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He/she is a teacher.,teacher,2
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He/She is a teacher.,teacher,2
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He/She is a teacher.,teacher,2
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is a teacher.,teacher,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He's an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
"He is an accountant.
",accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
He is an accountant.,accountant,0
